category,domain,url,text,page_type,found_on
Congress/Legislative,www.congress.gov,https://www.congress.gov/state-legislature-websites,state and territorial legislators,Elected Officials,https://www.usa.gov/elected-officials
Congress/Legislative,www.congress.gov,https://www.congress.gov/members,Congress,Government Branches,https://www.usa.gov/branches-of-government
Congress/Legislative,www.house.gov,https://www.house.gov/representatives,U.S. representatives,Elected Officials,https://www.usa.gov/elected-officials
Congress/Legislative,www.senate.gov,https://www.senate.gov/senators/senators-contact.htm,U.S. senators,Elected Officials,https://www.usa.gov/elected-officials
Congress/Legislative,www.whitehouse.gov,https://www.whitehouse.gov/contact/,contact the president of the United States,Elected Officials,https://www.usa.gov/elected-officials
Elected Officials,ce.naco.org,https://ce.naco.org/,county executive,Elected Officials,https://www.usa.gov/elected-officials
Elected Officials,www.usmayors.org,https://www.usmayors.org/mayors/,Search for a mayor,Elected Officials,https://www.usa.gov/elected-officials
Federal Agency,acl.gov,https://acl.gov/,Administration for Community Living,Federal Agencies,https://www.usa.gov/federal-agencies
Federal Agency,acl.gov,https://acl.gov/contact,Contact the Administration for Community Living,Federal Agencies,https://www.usa.gov/federal-agencies
Federal Agency,ag.nv.gov,https://ag.nv.gov/,Nevada (NV),State Attorneys General,https://www.usa.gov/state-attorney-general
Federal Agency,ag.nv.gov,https://ag.nv.gov/About/Consumer_Protection/Bureau_of_Consumer_Protection/,Bureau of Consumer Protection,Nevada Government,https://www.usa.gov/states/nevada
Federal Agency,ag.ny.gov,https://ag.ny.gov/,New York (NY),State Attorneys General,https://www.usa.gov/state-attorney-general
Federal Agency,ag.ok.gov,https://ag.ok.gov/,"Department of Agriculture, Food and Forestry",Oklahoma Government,https://www.usa.gov/states/oklahoma
Federal Agency,ag.wyo.gov,https://ag.wyo.gov/,Wyoming (WY),State Attorneys General,https://www.usa.gov/state-attorney-general
Federal Agency,ag.wyo.gov,https://ag.wyo.gov/law-office-division/consumer-protection-and-antitrust-unit,Consumer Protection and Antitrust Unit,Wyoming Government,https://www.usa.gov/states/wyoming
Federal Agency,ago.mo.gov,https://ago.mo.gov/,Missouri (MO),State Attorneys General,https://www.usa.gov/state-attorney-general
