section,agency_name,homepage_url,parent_department
A,AbilityOne Commission,https://www.abilityone.gov/,
A,Access Board,https://www.access-board.gov/,
A,Administration for Children and Families        (ACF),https://www.acf.hhs.gov/,ACF
A,Administration for Community Living         (ACL),https://acl.gov/,ACL
A,Administration for Native Americans        (ANA),https://www.acf.hhs.gov/ana,ANA
A,Administrative Conference of the United States        (ACUS),https://www.acus.gov/,ACUS
A,Administrative Office of the U.S. Courts,https://www.uscourts.gov/,
A,Advisory Council on Historic Preservation        (ACHP),https://www.achp.gov/,ACHP
A,Africa Command,https://www.africom.mil/,
A,African Development Foundation        (USADF),https://www.usadf.gov/,USADF
A,Agency for Global Media,https://www.usagm.gov/,
A,Agency for Healthcare Research and Quality        (AHRQ),https://www.ahrq.gov/,AHRQ
A,Agency for International Development        (USAID),http://www.usaid.gov/,USAID
A,Agency for Toxic Substances and Disease Registry (ATSDR),https://www.atsdr.cdc.gov/,ATSDR
A,Agricultural Marketing Service        (AMS),https://www.ams.usda.gov/,AMS
A,Agricultural Research Service        (ARS),https://www.ars.usda.gov/,ARS
A,Agriculture Department        (USDA),https://www.usda.gov/,USDA
A,Agriculture Library        (NAL),https://www.nal.usda.gov/,NAL
A,Air Force,https://www.af.mil/,
A,Air Force Reserve,https://www.afrc.af.mil/,
A,Alcohol and Tobacco Tax and Trade Bureau        (TTB),https://www.ttb.gov,TTB
A,"Alcohol, Tobacco, Firearms and Explosives Bureau        (ATF)",https://www.atf.gov/,ATF
A,Alhurra TV,https://www.alhurra.com/,
A,American Battle Monuments Commission        (ABMC),https://www.abmc.gov/,ABMC
A,AmeriCorps,https://americorps.gov/,
A,AmeriCorps Seniors,https://americorps.gov/serve/americorps-seniors,
A,Animal and Plant Health Inspection Service        (APHIS),https://www.aphis.usda.gov/aphis/home/,APHIS
A,Antitrust Division,https://www.justice.gov/atr,
A,Appalachian Regional Commission        (ARC),https://www.arc.gov/,ARC
A,Architect of the Capitol,https://www.aoc.gov/,
A,"Archives, National Archives and Records Administration        (NARA)",https://www.archives.gov/,NARA
A,Arctic Research Commission        (USARC),https://www.arctic.gov/,USARC
A,Armed Forces Retirement Home        (AFRH),http://www.afrh.gov/,AFRH
A,Arms Control and International Security,https://www.state.gov/bureaus-offices/under-secretary-for-arms-control-and-international-security-affairs/,
A,Army,https://www.army.mil/,
A,Army Corps of Engineers,http://www.usace.army.mil/,
A,"Arthritis, Musculoskeletal and Skin Diseases, National Institute of        (NIAMS)",https://www.niams.nih.gov/,NIAMS
